kcal_scn,SSP_scn,measure,diet_scn,waste_scn,tech_scn,env_item,year,value,,,Environmental analysis:,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,nitr_sfert,2050,120194.443,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,GHGe,2010,2618.47665,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,GHGe,2030,3591.973875,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,GHGe,2050,4279.228033,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,land,2010,10982.85802,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,land,2030,13971.56307,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,land,2050,16096.24888,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,water,2010,1564.837753,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,water,2030,2000.017474,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,water,2050,2271.124398,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,nitr,2010,74916.75245,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,nitr,2030,92163.9618,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,nitr,2050,103736.9775,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,phos,2010,13604.0425,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,phos,2030,16910.40912,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,phos,2050,19011.90395,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,nitr_splus,2010,107587.9941,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,nitr_splus,2030,129409.513,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,nitr_splus,2050,144922.6042,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,nitr_sfert,2010,107240.5039,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,nitr_sfert,2030,131797.349,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,BMK,nitr_sfert,2050,147194.1424,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,GHGe,2010,2377.446087,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,GHGe,2030,3400.230311,,,,,,,,,,
